sku,st_korotko_o_tovare,st_preimushchestva,st_oblast_primeneniya,st_osobennosti
SKU,Коротко о товаре,Преимущества,Область применения,Особенности
DCM562P1-QW,"воздуходув аккумуляторный XR 18 В, вентильный двигатель, скорость потока 144 км/ч, аккумулятор XR 18В 5А·ч, зарядное устройство",,,
DCM572N-XJ,"воздуходув FLEXVOLT 18/54 В, вентильный двигатель, производительность 11 м. куб.м./мин., скорость потока 200 км/ч, без аккумулятора и зарядного устройства",,,
DCM572X1-QW,"воздуходув FLEXVOLT 18/54 В, вентильный двигатель, производительность 11 м. куб.м./мин.,скорость потока 200 км/ч, аккумулятор FLEXVOLT 18 В (9А·ч)/54 В (3А·ч), зарядное устройство",,,
DCM562PB-QW,"воздуходув аккумуляторный XR 18 В, вентильный двигатель, скорость потока 144 км/ч, без аккумулятора и зарядного устройства",,,
DCMW564P2,,,,
DCMW564N,,,,
DCM563PB-XJ,"кусторез аккумуляторный XR 18 В, нож (лазерная заточка) 55 см, время работы 75 мин, без аккумулятора и зарядного устройства",,,
DCM563P1-QW,"кусторез аккумуляторный XR 18 В, нож (лазерная заточка) 55 см, время работы 75 мин, аккумулятор XR 18В 5А·ч, зарядное устройство",,,
DCM571X1-QW,"коса/кусторез FLEXVOLT 18/54 В, вентильный двигатель, леска 2 мм, захват 38 см, нож,  аккумулятор FLEXVOLT 18 В (9А·ч)/54 В (3А·ч), зарядное устройство",,,
DCM561P1-QW,"коса аккумуляторная XR 18 В, вентильный двигатель, леска 2 мм, захват 33 см, аккумулятор XR 18В 5А·ч, зарядное устройство",,,
DCM571N-XJ,"коса/кусторез FLEXVOLT 18/54 В, вентильный двигатель, леска 2 мм, захват 38 см, нож,  без аккумулятора и зарядного устройства",,,
DCM561PB-QW,"коса аккумуляторная XR 18 В, вентильный двигатель, леска 2 мм, захват 33 см, без аккумулятора и зарядного устройства",,,
DCM565P1,,,,
DCM565N,,,,
DCM575X1-QW,"пила цепная FLEXVOLT 18/54 В, вентильный двигатель, шина 40 см, цепь OREGON 3/8"", автоматическая подача масла, аккумулятор FLEXVOLT18 В (9А·ч)/54 В (3А·ч), зарядное устройство",,,
DCM575N-XJ,"пила цепная FLEXVOLT 18/54 В, вентильный двигатель, шина 40 см, цепь OREGON 3/8"", автоматическая подача масла, без аккумулятора и зарядного устройства",,,
DCB145,,,,
DCB182,,,,
DE9091,,,,
DE9062,,,,
DCB143,,,,
DE9360,,,,
DE9061,,,,
DE9094,,,,
DCB546,,,,
DE9074,,,,
DE9503,,,,
DCB123,,,,
DCB180,,,,
DCB183,,,,
DCB127,,,,
DE9502,,,,
DCB140,,,,
DCB142,,,,
DCB185,,,,
DCB144,,,,
DE9071,,,,
DE9501,,,,
DCB141,,,,
DCB181,,,,
DCB184,,,,
DCB125,,,,
DCB118-QW,зарядное устройство XR 18В и FLEXVOLT 8A,,,
DCB115,,,,
DE9136,,,,
DCB105,,,,
DCB500,,,,
DE9116,,,,
DCH273P2-QW,"18.0 В XR бесщеточный перфоратор SDS-plus, 400 Вт, 3 режима, 2.1 Дж,  0-4600  уд./мин.,  0-1100 об./мин., AVC, Ø бура до 24 мм, LED подсветка, 2 XR Li-Ion батареи 5.0 А·ч, з/у, кофр, 3.1 кг","Возможность выполнить более 90 отверстий буром 10 мм на глубину 80 мм (материал: бетон) за один цикл заряда
Отключение вращения для лёгких долбёжных работ по штукатурке, плитке, цементу и отключение удара для работ по сверлению дерева и металла
Имеет бесщёточный двигатель, который вкупе с Li-Ion батареей XR 5.0Ач увеличивает продолжительность работы на одном цикле заряда
Электронная муфта обеспечивает постояннство уровня крутящего момента и увеличивает надёжность механизма
Самый низкий в своем классе уровень вибрации - 6.6 м/с2 уменьшает усталость пользователя и увеличивает время непрерывной работы
Ярко-белая светодиодная подсветка с функцией задержки для работы в условиях слабой освещенности
Идеален для высверливания отверстий под анкерные крепления и просверливания сквозных отверстий в бетоне, кирпичной и каменной кладке диаметром 4-24 мм
Инструмент очень компактный, лёгкий, имеет эргономичный корпус, что повышает комфорт во время пользования и позволяет выполнять работу в течение длительного периода











","Возможность выполнить более 90 отверстий буром 10 мм на глубину 80 мм (материал: бетон) за один цикл заряда

















",
DCH333NT,,,,
DCH481N,,,,
DCH133N-XJ,"18.0 В XR бесщеточный 2-кг перфоратор SDS-Plus, 3 режима, эн.удара 2.6 Дж, без батарей и з/у",,,
DHS780N,,,,
DCS391M2-QW,"18.0 В XR дисковая пила, 460 Вт, 3700 об/мин, диск 165 мм, пропил 55 мм, 2 XR Li-Ion батареи 4.0А·ч, з/у, кофр, 3,8 кг","Эргономичные прорезиненые рукоятки обеспечивают удобство и комфорт пользователя
Очень прочная конструкция корпуса инструмента и литая подошва из магниевого сплава обеспечивают повторяемость и точность резов
Интеллектуальный выключатель со встроенной электроникой обеспечивает полный контроль над инструментом при всех применениях
Бесключевая регулировка угла наклона и глубины реза с четкой, хорошо видимой шкалой
Блокировка выключателя, электронный тормоз двигателя и металлический кожух для безопасной работы
Сверхтонкий пильный диск диаметром 165 мм и 24 зубьями с твердосплавными напайками обеспечивает долгий срок службы и высокое качество реза глубиной до 55 мм













","Эффективное аккумуляторное решение для обрезки деревьев


















",
DC390N,,,,
DCS576N,,,,
DCS7485N,,,,
DCS520NT,,,,
DCS388N,,,,
DCS397N,,,,
DCS380M2-QW,"18.0 В XR сабельная пила, 560 Вт, ход 28.6 мм, 0-2950 ход/мин, 2 XR Li-Ion батареи 4.0 А·ч, з/у, кофр , 3.3 кг","Рычажная система зажима полотен без ключа для быстрой и легкой смены полотна
4-позиционный зажим полотен позволяет резать заподлицо в разных направлениях не меняя положение инструмента
Открытая плавающая регулируемая подошва для максимальной устойчивости и хорошего обзора линии реза
















","Эффективная аккумуляторная сабельная пила. Материалы применения: дерево / металл / пластик / кладка / пена


















",
DCN692P2-QW,"18.0 В XR бесщеточный гвоздезабиватель, 105 Дж, магазин 55 шт, 30-34 град, гвозди (2,8-3,3)х(50-90)мм,  2 XR Li-Ion батареи 5.0 А·ч, з/у, кофр, 4.1 кг",,,
DCG414N,,,,
DCG412M2-QW,"18.0 В XR угловая шлифмашина, 125 мм, 405 Вт, 7000 об/мин, Li-Ion, 2 XR Li-Ion батареи 4.0 А·ч, з/у, кофр, 2.9 кг",,,
DC840KB,,,,
DW059K2,,,,
DCF830M2-QW,"14.4 В XR импульсный гайковерт, 1/2"", 245 Вт, 185 Нм, 0 - 2300 об./мин.,  0 - 2700 уд./мин., тройная LED подсветка, 2 XR Li-Ion батареи 4.0 А·ч, з/у, кофр, 1.55 кг","Мощный 14,4 В XR Li-Ion ударный гайковерт последнего поколения с новыми уникальными аккумуляторами технологии XR Li-Ion 4.0 Ач
Сверх компактный, легкий дизайн позволяет использовать инструмент в узких пространствах
Кольцевая светодиодная подсветка обеспечивает максимальное оcвещение рабочей зоны и возможность использования в качестве фонарика
Интеллектуальный выключатель со встроенной электроникой, обеспечивающий полный контроль над инструментом
Улучшенная эргономика и обрезиненная рукоятка обеспечивают контроль над инструментом и комфорт пользователя
Полностью металлический редуктор для лучшей передачи энергии и увеличения срока службы инструмента
Металлический корпус редуктора обеспечивает эффективное рассеивание высокой температуры, увеличивая срок службы инструмента
1/2"" (12.7 мм) квадратный держатель для более эффективной передачи крутящего момента и надежной фиксации насадки
Универсальное зарядное устройство позволяет заряжать 18.0В, 14,4В и 10,8В XR Li-Ion сдвижные батареи
Инструмент из новой интеллектуальной литий-ионной Серии XR, разработанной для эффективного и быстрого выполнения работы









","Разнообразные крепежные работы по заворачиванию в дереве, металле и бетоне
Скобяные изделия, сборка конструкций и различные ремонтные работы
Сборка воздуховодов, кондиционирования воздуха и системы центрального отопления
Ремонт автомобилей
Рамная конструкция, металлическая конструкция стеллажей и крепление муфты














",
DCF889M2,,,,
DCF880N,,,,
