sku,st_komplektaciya
SKU,Комплектация
DCM562P1-QW,"корпус садового воздуходува, воздуходувная труба, аккумулятор DCB184, зарядное устройство DCB115, руководство по эксплуатации, упаковка."
DCM572N-XJ,"воздуходув, 2 концентратора, упаковка."
DCM572X1-QW,"воздуходув, 2 концентратора, аккумулятор 54 В, 3 А·ч (18 В, 9 А·ч), зарядное устройство 8 А, упаковка."
DCM562PB-QW,"корпус садового воздуходува, воздуходувная труба, руководство по эксплуатации, упаковка."
DCMW564P2,"газонокосилка, мульчирующая заглушка, 2 аккумулятора 18 В, 5 А·ч, зарядное устройство 4 А, упаковка."
DCMW564N,"газонокосилка, мульчирующая заглушка, упаковка."
DCM563PB-XJ,"кусторез, упаковка."
DCM563P1-QW,"кусторез, аккумулятор 18 В, 5 А·ч, зарядное устройство 4 А, упаковка."
DCM571X1-QW,"коса, шпуля с леской, металлический нож, ремень, аккумулятор 54 В, 3 А·ч (18 В, 9 А·ч), зарядное устройство 8 А, упаковка."
DCM561P1-QW,"коса, шпуля с леской, аккумулятор 18 В, 5 А·ч, зарядное устройство 4 А, упаковка."
DCM571N-XJ,"коса, шпуля с леской, металлический нож, ремень, упаковка."
DCM561PB-QW,"коса, шпуля с леской, упаковка."
DCM565P1,"пила, шина и цепь 30 см, аккумулятор 18 В, 5 А·ч, зарядное устройство 8 А, упаковка."
DCM565N,"пила, шина и цепь 30 см, упаковка."
DCM575X1-QW,"пила, шина и цепь 40 см, аккумулятор 54 В, 3 А·ч (18 В, 9 А·ч), зарядное устройство 8 А, упаковка."
DCM575N-XJ,"пила, шина и цепь 40 см, упаковка."
DCB145,
DCB182,
DE9091,
DE9062,
DCB143,
DE9360,
DE9061,
DE9094,
DCB546,
DE9074,
DE9503,
DCB123,
DCB180,
DCB183,
DCB127,
DE9502,
DCB140,
DCB142,
DCB185,
DCB144,
DE9071,
DE9501,
DCB141,
DCB181,
DCB184,
DCB125,
DCB118-QW,
DCB115,
DE9136,
DCB105,
DCB500,"адаптер, упаковка."
DE9116,
DCH273P2-QW,"две батареи 5.0 А·ч XR Li-ion с индикацией заряда, универсальное зарядное устройство XR, крюк для подвешивания инструмента, многопозиционная боковая рукоятка, прочный чемодан."
DCH333NT,"перфоратор, боковая рукоятка, ограничитель глубины сверления, руководство по эксплуатации, кейс."
DCH481N,перфоратор.
DCH133N-XJ,"перфоратор, боковая рукоятка, ограничитель глубины сверления."
DHS780N,"торцовочная пила, пильный диск с 60 зубьями, ключ, пылесборник, струбцина, упаковка."
DCS391M2-QW,"дисковая пила, твердосплавный диск 165 мм, шестигранный ключ, адаптер для пылесоса, универсальное зарядное устройство, две 4.0 А·ч XR Li-ion батареи с индикацией заряда, чемодан."
DC390N,"твердосплавный диск, параллельный упор, шестигранный ключ, чемодан."
DCS576N,"дисковая пила, пильный диск, упаковка."
DCS7485N,"настольная пила, пильный диск, торцовочная направляющая, 2 спецключа, параллельная направляющая, принадлежность для удаления опилок, толкатель, коробка."
DCS520NT,"дисковая пила, пылесборник, кейс."
DCS388N,"сабельная пила, руководство по эксплуатации, упаковка."
DCS397N,"пила аллигатор, шестигранный ключ, руководство по эксплуатации, упаковка."
DCS380M2-QW,"сабельная пила, универсальное зарядное устройство, 2 сдвижные батареи 18 В, 3 А·ч, чемодан."
DCN692P2-QW,"2 XR Li-ion батареи с индикацией заряда (5 А·ч), универсальноезарядноеустройство XR, крючок для ремня, защитный наконечник, чемодан."
DCG414N,"угловая шлифмашина, защитный кожух, боковая рукоятка, комплект фланцев, спец-ключ, руководство по эксплуатации, упаковка."
DCG412M2-QW,"2-х позиционная боковая рукоятка, регулируемый без ключа защитный кожух, ключ для крепления диска, универсальное зарядное устройство, 2 сдвижные батареи, чемодан."
DC840KB,"аккумуляторный ударный гайковерт, два аккумулятора Ni-MH, 2.6 А·ч, зарядное устройство, чемодан."
DW059K2,"1-часовое зарядное устройство, 2 аккумулятора NiCd, 2.4 А·ч, кейс."
DCF830M2-QW,"гайковерт, 2 батареи 4.0 А·ч XR Li-ion, универсальное зарядное устройство XR, металлическая клипса для крепления инструмента на ремень, чемодан."
DCF889M2,"универсальное зарядное устройство, 2 XR Li-ion батареи с индикацией заряда (4 А·ч), чемодан."
DCF880N,"гайковерт, картонная коробка."
DCF899P2-QW,"две батареи XR Li-ion с индикацией заряда емкостью 5 А·ч, универсальное зарядное устройство XR, чемодан TSTAK."
DCF880M2-QW,"две сдвижные батареи с индикатором зарядки, универсальное зарядное устройство, клипса для крепления инструмента на ремень, чемодан."
DW294-QS,"ударный гайковерт, 3/4"" держатель, упаковка."
DW292-QS,"ударный гайковерт, инструкция по эксплуатации, коробка."
D28885,"прямошлифовальная машина, цанга 6 мм, два ключа, коробка."
D28886,"прямая шлифмашина, упаковка."
DWE4884-QS,"прямошлифовальная машина, цанга 6 мм, 2 ключа, коробка."
D21441-QS,"дрель, многопозиционная боковая рукоятка, ограничитель глубины сверления."
DWD115KS-QS,"дрель, руководство по эксплуатации, чертеж инструмента в разобранном виде, чемодан."
DWD014S-QS,"дрель, коробка."
DW246-QS,"дрель, боковая рукоятка, инструкция, упаковка."
DWD112S-KS,"дрель, руководство по эксплуатации, чертеж инструмента в разобранном виде, упаковка."
DW221-QS,"дрель, руководство по эксплуатации, сборочный чертеж, упаковка."
DW236I-QS,"дрель, руководство по эксплуатации, сборочный чертеж, многопозиционная боковая рукоятка, шесть кобальтовых сверл."
DW217-QS,"дрель, руководство по эксплуатации, сборочный чертеж, упаковка."
D21520-QS,"дрель-миксер, 3-х позиционная боковая рукоятка, 2-х позиционная задняя рукоятка, ключ патрона с держателем."
DW152,"боковые рукоятки - 2 шт, плечевой упор, адаптер патрона, ключ."
D21510-QS,"дрель-миксер, трехпозиционная боковая рукоятка, двухпозиционная задняя рукоятка, адаптер М14, упаковка."
D21160-QS,"патронный ключ, коробка."
DWD522KS-QS,"многопозиционная боковая рукоятка, ограничитель глубины сверления, чемодан."
DWD024KS,"ударная дрель, боковая рукоятка, ограничитель глубины сверления, чемодан."
DWD530KS-QS,"ударная дрель, многопозиционная боковая рукоятка, ограничитель глубины сверления, чемодан."
D21721K-QS,"быстрозажимной патрон, чемодан, многопозиционная рукоятка, ограничитель глубины сверления."
D21720,"ключевой патрон, патронный ключ, многопозиционная рукоятка, ограничитель глубины сверления, коробка."
D21716,"ключевой патрон, патронный ключ, многопозиционная боковая рукоятка, ограничитель глубины сверления."
D21717K,"дополнительная рукоятка, ограничитель глубины сверления, чемодан, быстрозажимной патрон."
D21805-QS,"многопозиционная боковая рукоятка, ограничитель глубины сверления, ключевой патрон, патронный ключ."
DWD024-KS,"патронный ключ, многопозиционная боковая рукоятка, ограничитель глубины сверления."
DWD024S-KS,"боковая рукоятка, ограничительглубины сверления."
DWD524KS-QS,"многопозиционная боковая рукоятка, ограничитель глубины сверления, чемодан."
D21805KS-QS,"многопозиционная боковая рукоятка, ограничитель глубины сверления, чемодан, быстрозажимной патрон."
DCT410D1-QW,"1 x 2.0 А·ч XR Li-ion батарея, зарядное устройство XR, крючок, магнит, кабель камеры, чемодан."
DW03101,"дальномер, 2 батареи AAA-LR03, защитный чехол для ношения на поясе."
DW033-XJ,"дальномер, 2 батареи AAA-LR03, упаковка."
DW03050,"лазерный дальномер, 2 батареи AAA-LR03, чехол, упаковка."
DCT414D1-QW,"термометр, батарея 2.0 А·ч XR Li-ion, зарядное устройство XR, чемодан."
DCE089D1R,"лазерный уровень, аккумуляторная батарея 10.8 В, зарядное устройство, кронштейн для подвесных потолков, кейс."
DCE0811D1G,"лазерный уровень, аккумуляторная батарея 10.8 В, зарядное устройство, кронштейн для подвесных потолков, кейс."
DCE0811D1R,"лазерный уровень, аккумулятор 10.8 В, зарядное устройство, кронштейн для подвесных потолков, кейс."
DCE088D1G,"лазерный уровень, аккумуляторная батарея 10.8 В, зарядное устройство, кронштейн для подвесных потолков, кейс."
DCE089D1G,"лазерный уровень, аккумуляторная батарея DCB127 10.8 В, зарядное устройство DCB107, кронштейн для подвесных потолков, мишень для обнаружения зеленого лазерного луча de0730g, очки для зеленого лазерного луча de0714g, кейс."
DW089K,"4 батареи АА, монтажные приспособления, чемодан."
DCE088LR,"лазерный уровень, переходник под батареи АА, кронштейн для подвесных потолков, 4 батареи АА, кейс."
DCE0811LR,"лазерный уровень, переходник под 4 батареи АА, кронштейн для подвесных потолков, 4 батареи АА, кейс."
DW0811,"лазерный уровень, чемодан."
DW0822,"самовыравнивающийся лазерный уровень, чемодан."
DW088K,"три алкалиновые батареи АА, монтажное приспособление, чемодан."
DCE088D1R,"лазерный уровень, аккумуляторная батарея 10.8 В, зарядное устройство, кронштейн для подвесных потолков, кейс."
DW341K-QS,"пилка, шестигранный ключ, защитная накладка, пылеотводящий экран, адаптер пылесоса, чемодан."
DW331K-QS,"антирасщепляющая вставка, защитная накладка, полотно для лобзиковых пил, чемодан, адаптер пылесоса."
DW349B,"защитная накладка, 1 пилка по дереву, упаковка."
DW343K-QS,"защитная накладка, чемодан, пилка, шестигранный ключ, пылеотводящий экран, адаптер пылесоса."
DW333K-QS,"защитная накладка, антирасщепляющая вставка, переходник для пылесоса, чемодан."
DW349-KS,"пилка, защитная накладка, упаковка."
D25902K-QS,"многопозиционная боковая рукоятка, долото, чемодан."
D25899K-QS,"многопозиционная боковая рукоятка, чемодан."
D25820K-B5,"многопозиционная боковая рукоятка, чемодан."
D25961K-QS,"долото, многопозиционная боковая рукоятка, чемодан."
D25501K-QS,"перфоратор, чемодан, многопозиционная боковая рукоятка с ограничителем глубины."
D25601K-QS,"перфоратор, многопозиционная боковая рукоятка, чемодан."
D25763K-QS,"комбинированный перфоратор, многопозиционная боковая рукоятка, чемодан."
D25481K-QS,"перфоратор, боковая рукоятка, чемодан."
D25721K-QS,"многопозиционная боковая рукоятка, чемодан."
D25762K-QS,"перфоратор, многопозиционная боковая рукоятка, чемодан."
D25134K-KS,"перфоратор, патрон бзп, антивибрационная рукоятка, ограничитель глубины, чемодан TSTAK."
D25263K-QS,"перфоратор, многопозиционная боковая рукоятка со встроенной подсветкой, ограничитель глубины, чемодан."
D25413K-QS,"многопозиционная боковая рукоятка, чемодан."
D25414KT-QS,"быстросъёмный патрон SDS-plus, быстросъёмный 3-х кулачковый быстрозажимной патрон, многопозиционная боковая рукоятка, долото SDS+, 2 бура SDS+, 4 сверла hss по металлу, 4 сверла по дереву, 2 перьевых сверла по дереву, защитные очки , перчатки, чемодан."
D25133K-KS,"перфоратор, антивибрационная боковая рукоятка, ограничитель глубины сверления, чемодан TSTAK."
D25144K,"перфоратор, патрон бзп, антивибрационная рукоятка, ограничитель глубины, чемодан TSTAK."
D25143K-KS,"перфоратор, антивибрационная рукоятка, ограничитель глубины, чемодан TSTAK."
D25052K-QS,"перфоратор, многопозиционная боковая рукоятка, ограничитель глубины, чемодан."
D25333K,"перфоратор, боковая рукоятка, ограничитель глубины сверления, кейс TSTAK."
DW872-QS,"пильный диск по металлу 355 мм, шестигранный ключ, вертикальный зажим."
D28715-QS,"отрезной диск по металлу, шестигранный ключ, крепление диска без ключа."
D28720-KS,"монтажная пила, ключ для смены диска, 1 абразивный диск, упаковка."
D28710,"абразивный диск по металлу, шестигранный ключ."
