image,sku,websites,attribute_set,name,category_ids,type,visibility,tax_class_id,status,price,ean,gross_length,gross_width,gross_height,weight,meta_title,meta_description,st_korotko_o_tovare,st_preimushchestva,st_oblast_primeneniya,st_osobennosti,st_komplektaciya,st_shildik_tip_instrumenta
Картинки,SKU,Стор,Атрибут сет,Название,Категории,Тип товара,Видимость,Налоговый класс,Статус,Цена,EAN,"Длина, см","Ширина, см","Высота, см","Вес, кг",Тайтл,Дискрипшен,Коротко о товаре,Преимущества,Область применения,Особенности,Комплектация,Шильдик тип инструмента
1211786.jpg,DCM562P1-QW,27,"DEWALT Фены (термопистолеты), Воздуходувки, Пылесосы, Кусторезы, Триммеры, Газонокосилки, Краскопульты, Компрессоры, Аэраторы",Аккумуляторный воздуходув XR 18 В DEWALT DCM562P1-QW,"894 , 897 , 920",simple,"Catalog, Search",None,Enabled,0,5035048615201,59,19.7,38.5,4.96,Аккумуляторный воздуходув XR 18 В DEWALT DCM562P1-QW DEWALT — купить в официальном магазине,"Купить аккумуляторный воздуходув XR 18 В DEWALT DCM562P1-QW на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>воздуходув аккумуляторный XR 18 В</li><li>вентильный двигатель</li><li>скорость потока 144 км/ч</li><li>аккумулятор XR 18В 5А·ч</li><li>зарядное устройство</li></ul>,,,,<ul><li>корпус садового воздуходува</li><li>воздуходувная труба</li><li>аккумулятор DCB184</li><li>зарядное устройство DCB115</li><li>руководство по эксплуатации</li><li>упаковка</li></ul>,аккумуляторный
,DCM572N-XJ,27,"DEWALT Фены (термопистолеты), Воздуходувки, Пылесосы, Кусторезы, Триммеры, Газонокосилки, Краскопульты, Компрессоры, Аэраторы",Аккумуляторный воздуходув FLEXVOLT 18/54 В DEWALT DCM572N-XJ,"894 , 897 , 920",simple,"Catalog, Search",None,Enabled,0,5035048657386,38.5,27.5,46,4.96,Аккумуляторный воздуходув FLEXVOLT 18/54 В DEWALT DCM572N-XJ DEWALT — купить в официальном магазине,"Купить аккумуляторный воздуходув FLEXVOLT 18/54 В DEWALT DCM572N-XJ на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>воздуходув FLEXVOLT 18/54 В</li><li>вентильный двигатель</li><li>производительность 11 м. куб.м./мин.</li><li>скорость потока 200 км/ч</li><li>без аккумулятора и зарядного устройства</li></ul>,,,,<ul><li>воздуходув</li><li>2 концентратора</li><li>упаковка</li></ul>,аккумуляторный
1307067.jpg,DCM572X1-QW,27,"DEWALT Фены (термопистолеты), Воздуходувки, Пылесосы, Кусторезы, Триммеры, Газонокосилки, Краскопульты, Компрессоры, Аэраторы",Аккумуляторный воздуходув FLEXVOLT 18/54 В DEWALT DCM572X1-QW,"894 , 897 , 920",simple,"Catalog, Search",None,Enabled,0,5035048659045,38.5,27.5,46,6.785,Аккумуляторный воздуходув FLEXVOLT 18/54 В DEWALT DCM572X1-QW DEWALT — купить в официальном магазине,"Купить аккумуляторный воздуходув FLEXVOLT 18/54 В DEWALT DCM572X1-QW на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>воздуходув FLEXVOLT 18/54 В</li><li>вентильный двигатель</li><li>производительность 11 м. куб.м./мин.</li><li>скорость потока 200 км/ч</li><li>аккумулятор FLEXVOLT 18 В (9А·ч)/54 В (3А·ч)</li><li>зарядное устройство</li></ul>,,,,<ul><li>воздуходув</li><li>2 концентратора</li><li>аккумулятор 54 В</li><li>3 А·ч (18 В</li><li>9 А·ч)</li><li>зарядное устройство 8 А</li><li>упаковка</li></ul>,аккумуляторный
1211797.jpg,DCM562PB-QW,27,"DEWALT Фены (термопистолеты), Воздуходувки, Пылесосы, Кусторезы, Триммеры, Газонокосилки, Краскопульты, Компрессоры, Аэраторы",Аккумуляторный воздуходув XR 18 В DEWALT DCM562PB-QW,"894 , 897 , 920",simple,"Catalog, Search",None,Enabled,0,5035048615249,59,19.7,38.5,3.8,Аккумуляторный воздуходув XR 18 В DEWALT DCM562PB-QW DEWALT — купить в официальном магазине,"Купить аккумуляторный воздуходув XR 18 В DEWALT DCM562PB-QW на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>воздуходув аккумуляторный XR 18 В</li><li>вентильный двигатель</li><li>скорость потока 144 км/ч</li><li>без аккумулятора и зарядного устройства</li></ul>,,,,<ul><li>корпус садового воздуходува</li><li>воздуходувная труба</li><li>руководство по эксплуатации</li><li>упаковка</li></ul>,аккумуляторный
,DCMW564P2,27,"DEWALT Фены (термопистолеты), Воздуходувки, Пылесосы, Кусторезы, Триммеры, Газонокосилки, Краскопульты, Компрессоры, Аэраторы",Аккумуляторная газонокосилка DEWALT XR DCMW564P2,"894 , 897 , 918",simple,"Catalog, Search",None,Enabled,0,5035048690116,88,52,42,26.5,Аккумуляторная газонокосилка DEWALT XR DCMW564P2 DEWALT — купить в официальном магазине,"Купить аккумуляторная газонокосилка DEWALT XR DCMW564P2 на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",,,,,<ul><li>газонокосилка</li><li>мульчирующая заглушка</li><li>2 аккумулятора 18 В</li><li>5 А·ч</li><li>зарядное устройство 4 А</li><li>упаковка</li></ul>,аккумуляторный
1307928.jpg,DCMW564N,27,"DEWALT Фены (термопистолеты), Воздуходувки, Пылесосы, Кусторезы, Триммеры, Газонокосилки, Краскопульты, Компрессоры, Аэраторы",Аккумуляторная газонокосилка DEWALT XR DCMW564N,"894 , 897 , 918",simple,"Catalog, Search",None,Enabled,0,5035048690147,88,52,42,26.5,Аккумуляторная газонокосилка DEWALT XR DCMW564N DEWALT — купить в официальном магазине,"Купить аккумуляторная газонокосилка DEWALT XR DCMW564N на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",,,,,<ul><li>газонокосилка</li><li>мульчирующая заглушка</li><li>упаковка</li></ul>,аккумуляторный
1307292.jpg,DCM563PB-XJ,27,"DEWALT Фены (термопистолеты), Воздуходувки, Пылесосы, Кусторезы, Триммеры, Газонокосилки, Краскопульты, Компрессоры, Аэраторы",Аккумуляторный  кусторез XR 18 В нож 55 см DEWALT DCM563PB-XJ,"894 , 897 , 919",simple,"Catalog, Search",None,Enabled,0,5035048643839,96,24,19.5,4.699,Аккумуляторный  кусторез XR 18 В нож 55 см DEWALT DCM563PB-XJ DEWALT — купить в официальном магазине,"Купить аккумуляторный  кусторез XR 18 В нож 55 см DEWALT DCM563PB-XJ на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>кусторез аккумуляторный XR 18 В</li><li>нож (лазерная заточка) 55 см</li><li>время работы 75 мин</li><li>без аккумулятора и зарядного устройства</li></ul>,,,,<ul><li>кусторез</li><li>упаковка</li></ul>,аккумуляторный
1307293.jpg,DCM563P1-QW,27,"DEWALT Фены (термопистолеты), Воздуходувки, Пылесосы, Кусторезы, Триммеры, Газонокосилки, Краскопульты, Компрессоры, Аэраторы",Аккумуляторный  кусторез XR 18 В нож 55 см DEWALT DCM563P1-QW,"894 , 897 , 919",simple,"Catalog, Search",None,Enabled,0,5035048637753,24.5,19.5,96.5,5.905,Аккумуляторный  кусторез XR 18 В нож 55 см DEWALT DCM563P1-QW DEWALT — купить в официальном магазине,"Купить аккумуляторный  кусторез XR 18 В нож 55 см DEWALT DCM563P1-QW на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>кусторез аккумуляторный XR 18 В</li><li>нож (лазерная заточка) 55 см</li><li>время работы 75 мин</li><li>аккумулятор XR 18В 5А·ч</li><li>зарядное устройство</li></ul>,,,,<ul><li>кусторез</li><li>аккумулятор 18 В</li><li>5 А·ч</li><li>зарядное устройство 4 А</li><li>упаковка</li></ul>,аккумуляторный
,DCM571X1-QW,27,"DEWALT Фены (термопистолеты), Воздуходувки, Пылесосы, Кусторезы, Триммеры, Газонокосилки, Краскопульты, Компрессоры, Аэраторы",Аккумуляторная коса-кусторез FLEXVOLT 18/54 В DEWALT DCM571X1-QW,"894 , 897 , 917",simple,"Catalog, Search",None,Enabled,0,5035048659021,194.5,30,25,9.15,Аккумуляторная коса-кусторез FLEXVOLT 18/54 В DEWALT DCM571X1-QW DEWALT — купить в официальном магазине,"Купить аккумуляторная коса-кусторез FLEXVOLT 18/54 В DEWALT DCM571X1-QW на сайте фирменного интернет магазина инструмента DEWALT. Выгодные цены, бесплатная доставка, обзоры, отзывы, видео, скидки и распродажи.",<ul><li>коса/кусторез FLEXVOLT 18/54 В</li><li>вентильный двигатель</li><li>леска 2 мм</li><li>захват 38 см</li><li>нож</li><li>аккумулятор FLEXVOLT 18 В (9А·ч)/54 В (3А·ч)</li><li>зарядное устройство</li></ul>,,,,<ul><li>коса</li><li>шпуля с леской</li><li>металлический нож</li><li>ремень</li><li>аккумулятор 54 В</li><li>3 А·ч (18 В</li><li>9 А·ч)</li><li>зарядное устройство 8 А</li><li>упаковка</li></ul>,аккумуляторный
