,Описание
DCD771D2-KS,"Аккумуляторная дрель-шуруповерт, 18.0 В XR, 300 Вт, 2 скорости:24/42 Нм, 0-450/1500 об./мин., быстрозажимной патрон с блокировкой шпинделя 13 мм, LED подсветка, 2 XR Li-Ion батареи 2.0 Ач, Multi-voltage ЗУ, кофр, 1.65 кг"
DCD740N-XJ,"Аккумуляторная угловая дрель, 18.0 В XR, патрон БЗП 10 мм, кр.момент 33 Нм, 300 Вт, 2 скорости, 0-650/2000 об/мин, без аккумуляторов и ЗУ, 1.3 кг"
DCD778S2T-QW,"Аккумуляторная бесщеточная ударная дрель-шуруповерт, 18.0 В XR, 340 Вт, 2 скор., 65 Нм, 0-500/1750 об/мин, 0-8500/29750 уд/мин, БЗП патрон 13 мм,  2 бат 1.5Ач"
DCD791NT-XJ,"Аккумуляторная бесщеточная дрель-шуруповерт, 18.0 В XR, 460 Вт, 2 скорости: 27/70 Нм, 0-550/2000 об./мин., быстрозажимной патрон с блокировкой шпинделя 13 мм, LED подсветка, без аккумуляторов и ЗУ, TSTAK, 1.2 кг"
DCD796NT-XJ,"Аккумуляторная бесщеточная ударная дрель-шуруповерт, 18.0 В XR, 460 Вт, 2 скорости: 27/70 Нм, 0-550/2000 об./мин.,  0-9350/34000 уд./мин., быстрозажимной патрон с блокировкой шпинделя 13 мм, LED подсветка, без аккумуляторв и ЗУ, TSTAK, 1.3 кг"
DCD991NT-XJ,"Аккумуляторная бесщеточная дрель-шуруповерт XRP, 18.0 В XR, 650 Вт, 3 скорости: 95/66 Нм, 0-450/1300/2000 об./мин., быстрозажимной патрон с блокировкой шпинделя 13 мм, LED подсветка, без аккумуляторов и ЗУ, TSTAK, 1.5 кг"
DCD996NT-XJ,"Аккумуляторная бесщеточная ударная дрель-шуруповерт XRP, 18.0 В XR, 650 Вт, 3 скорости: 95/66 Нм, 0-450/1300/2000 об./мин., 0-7650/22100/34000 уд./мин., быстрозажимной патрон с блокировкой шпинделя 13 мм, LED подсветка, TSTAK, 1.6 кг"
DCF887P2-QW,"Аккумуляторный бесщеточный импульсный шуруповерт, 18.0 В XR, 6-гранный держатель 1/4"", 400 Вт, 205 Нм, 0-3250 об./мин., 0-3800 уд./мин., тройная LED подсветка, 2 XR Li-Ion батареи 5.0 Ач, Multi-voltage ЗУ, TSTAK, 1.56 кг"
DCF894N-XJ,"Аккумуляторный компактный импульсный гайковерт, 18.0 В XR, 1/2'', 3 скорости, кр.момент 447 Нм (680 Нм на откручивание), 3100 уд/мин., без аккумуляторов и ЗУ, 1.5 кг"
DCF899N-XJ,"Аккумуляторный импульсный гайковерт, 18.0 В XR, 1/2"", 610 Вт, 3 скорости: 135/400/950 Нм,  0 - 400 / 1200 /1900 об./мин.,  0 - 2400 уд./мин., тройная LED подсветка"
DCG406N-XJ,"Аккумуляторная бесщеточная углошлифовальная машина, 18.0 В XR, 125мм, 9000 об/мин, клавишный выключатель, без аккумуляторов и ЗУ, 1.75 кг"
DCG412N-XJ,"Аккумуляторная бесщеточная углошлифовальная машина, 18.0 В XR, 125 мм, 405 Вт, 7000 об/мин, без аккумуляторов и ЗУ, 1.75 кг."
DCH273N-XJ,"Аккумуляторный бесщеточный перфоратор SDS-plus, 18.0 В XR, 400 Вт, 3 режима, 2.1 Дж,  0-4600  уд./мин.,  0-1100 об./мин., система защиты оператора Perform&Protect, активная антивибрационная система AVC, Ø бура до 24 мм, LED подсветка, 2.1 кг"
DCH274P2-QW,"Аккумуляторный бесщеточный перфоратор SDS-plus, 18.0 В XR, 400 Вт, 3 режима, 2.1 Дж,  0-4600  уд./мин.,  0-1100 об./мин., система защиты оператора Perform&Protect, активная антивибрационная система AVC, диам. бура до 24 мм, LED подсветка, быстрозаменяемый патрон 13 мм, 2 XR Li-Ion батареи 5.0 Ач, Multi-voltage ЗУ, кофр, 3.3 кг"
DCH275P2-QW,"Аккумуляторный бесщеточный перфоратор SDS-plus, 18.0 В XR, быстрозаменяемый патрон 13 мм, система пылеудаления D25303DH, 2 XR Li-Ion батареи 5.0 Ач, Multi-voltage ЗУ, кофр, 4.7 кг"
DCS331N-XJ,"Аккумуляторный лобзик с верхней рукояткой, 18.0 В XR, 400 Вт, маятник, бесключ.смена пилки, макс.пропил 130 мм, ход 26 мм, 0-3000 ход/мин, плавный пуск, без аккумуляторов и ЗУ, 2.4 кг"
DCS391N-XJ,"Аккумуляторная дисковая пила, 18.0 В XR, 460 Вт, 3700 об/мин, диск 165 мм, пропил 55 мм, без батарей и ЗУ"
DCS367N-XJ,"Аккумуляторная угловая бесщеточная сабельная пила, 18.0 В XR, 0-2900 ход/мин, ход 28,6 мм, рег.скорости, длина реза (дер.) 300 мм, без аккумуляторов и ЗУ, 2.3 кг"
DCS350N-XJ,"Аккумуляторный бесщеточный болторез, 18.0 В XR, M6, M8, M10, M12, 30 об/мин., 72 Дб, без аккумуляторов и ЗУ, 4.1 кг"
DCS371N-XJ,"Аккумуляторная ручная ленточная пила по металлу, 18.0 В XR, макс. 63 мм, без аккумуляторов и ЗУ, 3.9 кг"
DCN660N-XJ,"Аккумуляторный бесщеточный шпилькозабиватель, 18.0 В XR, наклон обоймы 20°, шпилька 32-63 мм, 16Ga (Ø1.6 мм), до 110 шт/обойма, без акумуляторов и ЗУ, 2.35 кг."
DCN692N-XJ,"Аккумуляторный бесщеточный гвоздезабивной пистолет, 18.0 В XR, наклон обоймы 30-34°, гвоздь (Ø2,8-3,3)х(50-90)мм,  до 55 шт/обойма, 105 Дж,  без батарей и ЗУ, 4.1 кг"
DCN890N-XJ,"Аккумуляторный монтажный пистолет по бетону, 18.0 В XR, наклон обоймы 15°, гвоздь (Ø2.6-3.7)х(13-57 мм), до 30 шт/обойма, без акумуляторов и ЗУ, 4.2 кг"
DCP580N-XJ,"Аккумуляторный бесщеточный рубанок, 18.0 В XR, глубина строгания 0-2 мм, 15000 об/мин, нож 82 мм, длина подошвы 295 мм, выбор четверти 9 мм, без аккумуляторов и ЗУ, 2.5 кг"
DCE580N-XJ,"Аккумуляторный пистолет для герметика, 18.0 В XR, 300-600 мл, усилие 2500Н, скорость 51-533 мл/мин., без аккумуляторов и ЗУ, 2.2 кг"
DCL043-XJ,"Аккумуляторный фонарь, 120-1000 люмен, 18.0 В XR, 4 светодиода, IP54, без аккумуляторов и ЗУ, 0.64 кг"
DCL060-XJ,"Аккумуляторный фонарь, 1500 люмен, 18.0 В XR, без батарей и ЗУ"
DCH733N-XJ,"Аккумуляторный бесщеточный перфоратор SDS-Max, 54 В XR FLEXVOLT, макс. Ø48 мм, 3 режима, 15,7 Дж, 2705 уд/мин, 355 об/мин, без аккумуляторов и ЗУ, 8.9 кг"
DCD240N-XJ,"Аккумуляторный миксер строительный , 54 В XR FLEXVOLT, M14(5/8''), 5 скоростей, 0-725 об/мин, шнек в комплекте Ø160 мм,  без аккумуляторов и ЗУ, 5.1 кг"
DCD460N-XJ,"Аккумуляторная угловая дрель, 54 В XR FLEXVOLT, 140 Нм, ключевой патрон 13 мм, 0-300/1250 об/мин, макс. Ø152 мм (дерево), эл.муфта, без аккумуляторов и ЗУ, 4.85 кг"
DCS777N-XJ,"Аккумуляторная бесщеточная торцовочная пила, 54 В XR FLEXVOLT, 6300 об/мин, 216х30 мм, наклон 48°, угол поворота пр./лев.: 50°/50°, макс. глубина реза 80 мм, XPS,  без батареи и ЗУ, 14.0 кг"
DCS778N-XJ,"Аккумуляторная бесщеточная торцовочная пила, 54 В XR FLEXVOLT, 4300 об/мин, 250х30 мм, наклон 48°, угол поворота пр./лев.: 50°/50°, глубина реза 85 мм, XPS,  без батареи и ЗУ, 17.2 кг"
DCB132-QW,"Аккумуляторное универсальное зарядное устройство для 2-х батарей, XR Li-Ion 10.8/14.4/18/54В, 1.2 кг"
DCB547-XJ,"Li-Ion аккумуляторная батарея, 9.0 Ач (совместима с XR 18.0 В), 54 В XR FLEXVOLT "
DCT4103-XJ,"Кабель удлинительный для DCT410, длина 90 см"
DC5001-XJ,Фильтр для пылесоса DC500
DW268K-QS,"Шуруповерт с держателем насадок 1/4"",  540 Вт, регулировка крутящего момента, 4-26 Нм, 0-2500 об/мин, кофр, 1.3 кг"
D215824-XJ,"Водяной нагнетательный насос для алмазных дрелей, 10л"
D215825-XJ,"Крепежный комплект для бетона для установки стоек D215821, D215831, D215851"
D215854-XJ,"Комплект из 5 медных колец для устаноки коронок на дрели D21583K, D21585"
D215804-XJ,"Устройство пылеудаления для алмазных дрелей D21580K, D21582K "
D215826-XJ,"Крепежный комплект для каменной кладки для установки стоек D215821, D215831, D215851"
D215827-XJ,"10 дюбелей для бетона для установки стоек D215821, D215831, D215851"
D215852-XJ,Водосборное кольцо для стойки D215851
D25334K-QS,"Перфоратор SDS-plus, патрон БЗП, 950 Вт, 3 режима, 3,5 Дж,  0-4480 уд./мин., 0-1150 об./мин., система защиты оператора Perform&Protect, активная антивибрационная система AVC, диам. бура до 30+E119 мм, антивибрационная рукоятка, T-STAK, 3.9 кг"
D25415K-QS,"Перфоратор SDS-plus, 1000 Вт, 3 режима, 4.2 Дж, 0-4700 уд./мин., 0-820 об./мин., система защиты оператора Perform&Protect, активная антивибрационная система AVC, диам. бура до 32 мм, антивибрационная рукоятка, кофр, быстрозаменяемый патрон 13 мм, 4.3 кг"
D25602K-QS,"Перфоратор SDS-max, 1250 Вт, 2 режима, 12 Дж,  1430-2840  уд./мин., 210-415 об./мин., 2-х ступенчатая предохранительная муфта CTC для защиты от заклинивания, система защиты оператора Perform&Protect, активная антивибрационная система AVC, диам. бура до 45 мм,  кофр, 6.9 кг"
