SKU,Desc,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D21160,"Выходная мощность: 180 Вт
Частота холостого хода: 0-1200 об/мин
Патрон: 1.0-10 мм
Макс. диаметр сверления (Дерево): 20 мм
Держатель насадки: н/д
Вес: 262 кг
Высота: 50 мм
Потребляемая мощность: 350 Вт
Макс. крутящий момент: н/д
Макс. диаметр сверления (Металл): 10 мм
Резьба шпинделя: 3/8"" x 24 U.N.F
Уровень вибрации (сверление в металле): <2.5 м/с2
Погрешность вибрации: н/д
Звуковое давление: 80 дБ(А)
Погрешность уровня шума: н/д
Акустическая мощность: 91 дБ(А)
Погрешность мощности создаваемого шума: н/д








",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D21441,"Патрон: н/д
Потребляемая мощность: 770 Вт
Выходная мощность: 425 Вт
Макс. крутящий момент: 40/20 Нм
Частота холостого хода: 0-1100 / 0-2700 об/мин
Макс. диаметр сверления (Дерево): 35 мм
Макс. диаметр сверления (Металл): 13 мм
Резьба шпинделя: 1/2"" x 20 U.N.F
Держатель насадки: н/д
Вес: 352 кг
Высота: 199 мм
Уровень вибрации (сверление в металле): н/д
Погрешность вибрации: н/д
Звуковое давление: 83 дБ(А)
Погрешность уровня шума: н/д
Акустическая мощность: 94 дБ(А)
Погрешность мощности создаваемого шума: н/д








",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D21510,"Резьба шпинделя: 5/8"" x16 U.N.F.
Патрон: M14
Потребляемая мощность: 710 Вт
Выходная мощность: 560 Вт
Макс. крутящий момент: 50 Нм
Частота холостого хода: 0-550 об/мин
Макс. ширина: 160 мм
Держатель насадки: 3.0 мм
Вес: 420 кг
Высота: 215 мм
Уровень вибрации (сверление в металле): 3 м/с2
Звуковое давление: <2.5 дБ(А)
Погрешность уровня шума: н/д
Акустическая мощность: 91 дБ(А)
Погрешность мощности создаваемого шума: 3 dB(A)










",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D21520,"Патрон: 2.0-13 мм
Резьба шпинделя: 5/8"" x 16 U.N.F
Патрон: ключевой
Потребляемая мощность: 710 Вт
Выходная мощность: 560 Вт
Макс. крутящий момент: 50 Нм
Частота холостого хода: 0-550 об/мин
Макс. ширина: 160 мм
Держатель насадки: н/д
Вес: 400 кг
Высота: 215 мм
Уровень вибрации (сверление в металле): 3 м/с2
Звуковое давление: <2.5 дБ(А)
Погрешность уровня шума: н/д
Акустическая мощность: 91 дБ(А)
Погрешность мощности создаваемого шума: 3 dB(A)









",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D21570K,"Резьба шпинделя: 1/2"" X 20 U.N.F
Потребляемая мощность: 1300 Вт
Выходная мощность: 680 Вт
Частота холостого хода: 0-1250 0-3500 об/мин
Макс. диаметр сверления (Бетон): 22 мм
Держатель насадки: 3 мм
Макс. диаметр сверления (Кирпич): 127 мм
Диаметр кольца: 43 мм
Длина: 380 мм
Высота: 215 мм
Уровень вибрации: 13 м/с2
Уровень вибраций (сверление): 16 м/с2
Погрешность вибрации (долбление): н/д
Звуковое давление: 93 дБ(А)
Погрешность давления создаваемого шума: 3 dB(A)
Акустическая мощность: 104 дБ(А)
Погрешность мощности создаваемого шума: 3 dB(A)
Погрешность вибрации: н/д
Погрешность вибрации: н/д






",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D215804,"Для применения с: D21580K / D21582K
























",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D21580K,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D215821,"Держатель насадки: 7 мм
Диаметр кольца: 53 мм
Длина стойки: 680 мм
Макс. диаметр сверления с водосборником: 102 мм
Макс. диаметр сверления без водосборника: 152 мм
Наклон: НД °



















",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D215822,"Описание: Водосборник
Для применения с: D215821























",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D215823,"Описание: Сальник водосборника (3 шт.)
Для применения с: D215822























",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
