sku,st_vykhodnaya_moshchnost,st_chislo_hodov_holostoy_hod,st_tip_patrona,st_maxdiam_sverleniya_derevo,st_derzhatel_nasadki,st_potreb_moshnost,st_max_krutyashchiy_moment,st_maxdiam_sverleniya_metal,st_rezba_spindelya,st_uroven_vibratsii_sverleniye,st_uroven_shuma,st_akusticheskaya_moshchnost,st_maxdiam_sverleniya_beton,st_maxdiam_sverleniya_kirpich,st_diametr_koltsa,st_uroven_vibratsii,st_dlina_stoyki,st_max_d_sverl_vodosborn,st_max_chastota_udarov,st_vibraciya_priudare,st_diametr_diska,st_posad_diametr,st_max_glubina_reza,st_maxsila_udara,st_max_d_sverl_pol_koron,st_chisl_oborot_pod_nagr,st_max_diam_sverl_prokh_bur,st_rabochiy_hod_frezi,st_razmer_cangi,st_maz_diam_frezi,st_chislo_oborotov,st_chastota_kolebaniy,st_razmer_shlifov_podosh,st_rashod_vozduha,st_max_skor_dvizh_lenty,st_razmer_lenty,st_maxglubina_chetverti,st_maxshirina_obrabotki,st_razmer_shlifov_podosh,st_diametr_barabana,st_chislo_oborotov,st_diametr_posad_otverstoya,st_ugol_naklona,st_regulirovka_stola,st_tip_accumulatora,st_napryazheniye_akkumulyatora,st_emkost_accumulatora,st_diametr,st_max_chastota_udarov,st_max_diametr_bolta,st_maxvrash_moment_zhestk,st_maxvrash_moment_myagk,st_max_chastota_udarov,st_chislo_khod_bez_nagr,st_velichina_hoda,st_tolshchina_propila,st_tolshchina_diska,st_ugol_zatochki,st_dlina_lezviya,st_rabochaya_dlina,st_shag_zuba,st_kolichestvo,st_tolshina_mm,st_max_glubina_reza,st_napravlenie_luchey,st_vidimost_lucha,st_max_glub_prop_derev,st_max_glub_prop_stal,st_max_glub_prop_plast,st_max_glub_prop_metall,st_max_glub_prop_cv_metall,st_uroven_vibratsii,st_max_vysota_reza,st_shirina_rezaniya_mm,st_skorost_rezaniya,st_razmer_rab_stola,st_dlina_polotna,st_vremya_ostanovki_polotna,st_obyem_baka,st_rashod_vozduha
D21160-QS,180,1200,,20,,350,,10,"3/8"" x 24 U.N.F","2,5",80,91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D21441-QS,425,2700,,35,,770,40,13,"1/2"" x 20 U.N.F",,83,94,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D21510-QS,560,550,M14,,3,710,50,,"5/8"" x 16 U.N.F",3,"2,5",91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D21520-QS,560,550,ключевой,,,710,50,,"5/8"" x 16 U.N.F",3,"2,5",91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D21570K-QS,680,3500,,,3,1300,,,"1/2"" x 20 U.N.F",,93,104,22,127,43,13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D215804-XJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D21580K-QS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D215821-XJ,,,,,7,,,,,,,,,,53,,680,102/152,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D215825-XJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D215826-XJ,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
